stock_code,entry_date,exit_date,days_held,entry_price,exit_price,quantity,signal_type,signal_strength,exit_reason,gross_pnl,net_pnl,pnl_pct,commissions,slippage,stop_loss,target1,target2
ACES,2024-01-04,2024-01-04,1,735.0,720.0,15800,BUY - MOMENTUM,100,STOP_LOSS,-237000.0,-294472.5,-2.0408163265306123,34483.5,22989.0,720.0,757.0,764.0
CARE,2024-01-05,2024-01-05,1,161.0,158.0,72200,BUY - MOMENTUM,73,STOP_LOSS,-216600.0,-274179.5,-1.8633540372670807,34547.7,23031.800000000003,158.0,166.0,167.0
BRIS,2024-01-08,2024-01-08,1,1925.0,2002.0,6000,BUY - MOMENTUM,90,TARGET2,462000.0,403095.0,4.0,35343.0,23562.0,1886.0,1983.0,2002.0
TLKM,2024-01-05,2024-01-09,3,3890.0,3960.0,2900,BUY - REVERSAL,100,MAX_HOLDING,203000.0,146087.5,1.7994858611825193,34147.5,22765.0,3793.0,4036.0,4084.0
BBRI,2024-01-08,2024-01-10,3,5625.0,5700.0,2000,BUY - REVERSAL,98,MAX_HOLDING,150000.0,93375.0,1.3333333333333335,33975.0,22650.0,5484.0,5836.0,5906.0
BIPI,2024-01-09,2024-01-11,3,100.0,98.0,116400,BUY - REVERSAL,99,STOP_LOSS,-232800.0,-290418.0,-2.0,34570.8,23047.2,98.0,104.0,105.0
BRIS,2024-01-18,2024-01-18,1,2010.0,1970.0,5700,BUY - MOMENTUM,99,STOP_LOSS,-228000.0,-284715.0,-1.9900497512437811,34029.0,22686.0,1970.0,2070.0,2090.0
AKRA,2024-01-17,2024-01-19,3,1610.0,1625.0,7200,BUY - MOMENTUM,97,MAX_HOLDING,108000.0,49770.0,0.9316770186335404,34938.0,23292.0,1578.0,1658.0,1674.0
MAPI,2024-02-06,2024-02-12,3,1955.0,1965.0,5900,BUY - MOMENTUM,80,MAX_HOLDING,59000.0,1180.0,0.5115089514066496,34692.0,23128.0,1916.0,2014.0,2033.0
PTPP,2024-02-12,2024-02-12,1,422.0,414.0,27400,BUY - MOMENTUM,100,STOP_LOSS,-219200.0,-276466.0,-1.8957345971563981,34359.600000000006,22906.4,414.0,435.0,439.0
MAPA,2024-02-15,2024-02-15,1,995.0,975.0,11600,BUY - MOMENTUM,89,STOP_LOSS,-232000.0,-289130.0,-2.0100502512562812,34278.0,22852.0,975.0,1025.0,1035.0
TLKM,2024-02-15,2024-02-16,2,4030.0,4090.45,2800,BUY - MOMENTUM,82,STOP_LOSS,169259.99999999948,112416.84999999945,1.4999999999999953,34105.89,22737.260000000002,3949.0,4151.0,4191.0
MAPA,2024-02-16,2024-02-16,1,1000.0,980.0,11500,BUY - MOMENTUM,75,STOP_LOSS,-230000.0,-286925.0,-2.0,34155.0,22770.0,980.0,1030.0,1040.0
ICBP,2024-02-15,2024-02-19,3,11650.0,11417.0,900,BUY - MOMENTUM,91,STOP_LOSS,-209700.0,-261600.75,-2.0,31140.45,20760.300000000003,11417.0,12000.0,12116.0
BRIS,2024-02-19,2024-02-19,1,2380.0,2332.0,4800,BUY - MOMENTUM,88,STOP_LOSS,-230400.0,-286944.0,-2.0168067226890756,33926.4,22617.6,2332.0,2451.0,2475.0
CTRA,2024-02-27,2024-02-27,1,1260.0,1235.0,9000,BUY - MOMENTUM,81,STOP_LOSS,-225000.0,-281137.5,-1.984126984126984,33682.5,22455.0,1235.0,1298.0,1310.0
MAPA,2024-03-08,2024-03-08,1,1025.0,1076.0,11000,BUY - REVERSAL,100,TARGET2,561000.0,503222.5,4.975609756097561,34666.5,23111.0,999.0,1063.0,1076.0
ISAT,2024-03-13,2024-03-13,1,12050.0,11809.0,900,BUY - MOMENTUM,93,STOP_LOSS,-216900.0,-270582.75,-2.0,32209.65,21473.1,11809.0,12412.0,12532.0
BBCA,2024-03-14,2024-03-14,1,10325.0,10118.0,1100,BUY - MOMENTUM,94,STOP_LOSS,-227700.0,-283918.25,-2.0048426150121066,33730.95,22487.300000000003,10118.0,10635.0,10738.0
HEAL,2024-03-13,2024-03-15,3,1240.0,1230.0,9200,BUY - REVERSAL,100,MAX_HOLDING,-92000.0,-148810.0,-0.8064516129032258,34086.0,22724.0,1209.0,1286.0,1302.0
ACES,2024-03-13,2024-03-15,3,835.0,835.0,13700,BUY - MOMENTUM,83,MAX_HOLDING,0.0,-57197.5,0.0,34318.5,22879.0,818.0,860.0,868.0
TLKM,2024-03-14,2024-03-18,3,3960.0,3920.0,2800,BUY - MOMENTUM,77,MAX_HOLDING,-112000.0,-167160.0,-1.0101010101010102,33096.0,22064.0,3881.0,4079.0,4118.0
EURO,2024-03-27,2024-03-27,1,139.0,136.0,81300,BUY - MOMENTUM,95,STOP_LOSS,-243900.0,-299793.75,-2.158273381294964,33536.25,22357.5,136.0,143.0,145.0
TPIA,2024-03-28,2024-03-28,1,5825.0,5708.0,1900,BUY - MOMENTUM,85,STOP_LOSS,-222300.0,-277081.75,-2.008583690987124,32869.05,21912.7,5708.0,6000.0,6058.0
TKIM,2024-04-01,2024-04-01,1,7175.0,7032.0,1500,BUY - MOMENTUM,78,STOP_LOSS,-214500.0,-267776.25,-1.9930313588850175,31965.75,21310.5,7032.0,7390.0,7462.0
PGAS,2024-04-03,2024-04-03,1,1365.0,1338.0,8100,BUY - MOMENTUM,82,STOP_LOSS,-218700.0,-273435.75,-1.9780219780219779,32841.45,21894.300000000003,1338.0,1406.0,1420.0
