date,capital,unrealized_pnl,total_equity,num_positions,return_pct
2024-03-07,58589185.53999997,207000.0,58796185.53999997,4,-41.20381446000003
2024-03-08,58916915.53999997,0.0,58916915.53999997,1,-41.08308446000003
2024-03-13,58538184.03999997,180000.0,58718184.03999997,4,-41.28181596000003
2024-03-14,58623363.41499997,13500.0,58636863.41499997,4,-41.363136585000035
2024-03-15,58193134.91499997,-140000.0,58053134.91499997,1,-41.94686508500003
2024-03-18,58012184.91499997,0.0,58012184.91499997,0,-41.98781508500003
2024-03-19,58012184.91499997,0.0,58012184.91499997,2,-41.98781508500003
2024-03-20,58012184.91499997,80000.0,58092184.91499997,4,-41.90781508500003
2024-03-21,58191164.91499997,120000.0,58311164.91499997,3,-41.68883508500003
2024-03-22,58286147.41499997,35000.0,58321147.41499997,3,-41.67885258500003
2024-03-25,58298091.16499997,104200.0,58402291.16499997,4,-41.59770883500003
2024-03-26,58235610.16499997,-75000.0,58160610.16499997,3,-41.83938983500003
2024-03-27,57829410.16499997,-112500.0,57716910.16499997,3,-42.283089835000034
2024-03-28,57452979.66499997,-33000.0,57419979.66499997,2,-42.58002033500003
2024-04-01,56960633.66499997,-175000.0,56785633.66499997,3,-43.21436633500003
2024-04-02,56496540.66499997,337000.0,56833540.66499997,4,-43.16645933500003
2024-04-03,56117905.66499997,99500.0,56217405.66499997,3,-43.78259433500003
2024-04-04,56456846.16499997,31000.0,56487846.16499997,3,-43.51215383500003
2024-04-05,56476376.16499997,-106000.0,56370376.16499997,4,-43.62962383500003
2024-04-16,55466770.66499997,-224000.0,55242770.66499997,1,-44.757229335000034
2024-04-17,55289941.16499997,0.0,55289941.16499997,2,-44.710058835000034
2024-04-18,55289941.16499997,-29000.0,55260941.16499997,3,-44.73905883500003
2024-04-19,54253845.66499997,0.0,54253845.66499997,1,-45.746154335000035
2024-04-22,53897950.66499997,0.0,53897950.66499997,2,-46.102049335000025
2024-04-23,53137643.66499997,-135000.0,53002643.66499997,2,-46.99735633500003
2024-04-24,52779117.41499997,0.0,52779117.41499997,1,-47.22088258500003
2024-04-25,52435506.66499997,0.0,52435506.66499997,2,-47.56449333500003
2024-04-26,52002423.66499997,0.0,52002423.66499997,3,-47.99757633500003
2024-04-29,52261786.16499997,0.0,52261786.16499997,1,-47.73821383500003
2024-04-30,51911566.16499997,-27500.0,51884066.16499997,4,-48.11593383500003
2024-05-02,51530982.91499997,-97000.0,51433982.91499997,3,-48.56601708500003
2024-05-03,51427775.41499997,75000.0,51502775.41499997,2,-48.49722458500003
2024-05-06,50925467.41499997,-35000.0,50890467.41499997,2,-49.10953258500003
2024-05-07,50786254.91499997,64000.0,50850254.91499997,4,-49.14974508500003
2024-05-08,50849455.03999997,-2000.0,50847455.03999997,3,-49.152544960000036
2024-05-13,50606520.03999997,67500.0,50674020.03999997,3,-49.32597996000003
2024-05-14,50713823.66499997,-13000.0,50700823.66499997,2,-49.299176335000034
2024-05-15,50468156.16499997,0.0,50468156.16499997,2,-49.53184383500003
2024-05-16,50468156.16499997,43000.0,50511156.16499997,4,-49.488843835000026
2024-05-17,50350710.66499997,-61000.0,50289710.66499997,2,-49.71028933500003
2024-05-20,49682679.16499997,0.0,49682679.16499997,1,-50.31732083500003
2024-05-21,49324631.16499997,-180000.0,49144631.16499997,3,-50.85536883500003
2024-05-22,49160656.16499997,92000.0,49252656.16499997,3,-50.74734383500004
2024-05-27,48939856.16499997,-117500.0,48822356.16499997,3,-51.17764383500003
2024-05-28,48187577.16499997,208000.0,48395577.16499997,2,-51.60442283500003
2024-05-29,48447352.16499997,60000.0,48507352.16499997,2,-51.49264783500003
2024-05-30,48654442.16499997,-196000.0,48458442.16499997,2,-51.54155783500003
2024-05-31,47610767.16499997,0.0,47610767.16499997,1,-52.38923283500003
2024-06-03,47292605.91499997,-92000.0,47200605.91499997,1,-52.79939408500003
2024-06-04,47279668.41499997,0.0,47279668.41499997,3,-52.72033158500003
2024-06-05,47244393.41499997,-245000.0,46999393.41499997,4,-53.00060658500003
2024-06-06,46982760.91499997,175400.0,47158160.91499997,3,-52.84183908500003
2024-06-07,47262108.41499997,39000.0,47301108.41499997,3,-52.69889158500003
2024-06-10,46811940.41499997,13200.0,46825140.41499997,3,-53.174859585000036
2024-06-11,46382200.16499997,0.0,46382200.16499997,2,-53.617799835000035
2024-06-12,46235620.16499997,55200.0,46290820.16499997,3,-53.70917983500003
2024-06-13,46090444.16499997,-266500.0,45823944.16499997,4,-54.17605583500003
2024-06-14,45306472.66499997,-25500.0,45280972.66499997,2,-54.71902733500003
2024-06-19,45170302.66499997,-50000.0,45120302.66499997,1,-54.87969733500003
2024-06-20,44977958.91499997,0.0,44977958.91499997,1,-55.022041085000026
2024-06-21,44945848.91499997,0.0,44945848.91499997,1,-55.054151085000036
2024-06-24,44945848.91499997,-24500.0,44921348.91499997,1,-55.07865108500003
2024-06-25,44912528.91499997,0.0,44912528.91499997,2,-55.087471085000026
2024-06-26,44912528.91499997,129000.0,45041528.91499997,4,-54.95847108500003
2024-06-27,45035786.66499997,60000.0,45095786.66499997,2,-54.90421333500003
2024-06-28,44639752.66499997,112000.0,44751752.66499997,3,-55.24824733500003
2024-07-01,44553510.13999997,100000.0,44653510.13999997,2,-55.34648986000003
2024-07-02,44572635.13999997,-20500.0,44552135.13999997,4,-55.44786486000003
2024-07-03,44598796.16499997,-178500.0,44420296.16499997,3,-55.579703835000025
2024-07-04,44553214.91499997,0.0,44553214.91499997,2,-55.44678508500003
2024-07-05,44521014.91499997,-81000.0,44440014.91499997,3,-55.55998508500003
2024-07-08,44514602.41499997,100000.0,44614602.41499997,4,-55.38539758500003
2024-07-09,44207388.41499997,-194000.0,44013388.41499997,2,-55.986611585000034
2024-07-10,43851575.91499997,0.0,43851575.91499997,1,-56.14842408500002
2024-07-11,43851575.91499997,0.0,43851575.91499997,5,-56.14842408500002
2024-07-12,43916521.45249997,158000.0,44074521.45249997,4,-55.92547854750003
2024-07-15,43814471.45249997,0.0,43814471.45249997,1,-56.18552854750003
2024-07-16,43814471.45249997,93000.0,43907471.45249997,1,-56.09252854750003
2024-07-17,43688921.45249997,0.0,43688921.45249997,1,-56.311078547500024
2024-07-18,43688921.45249997,-80000.0,43608921.45249997,3,-56.39107854750003
2024-07-19,42818589.45249997,15000.0,42833589.45249997,2,-57.16641054750002
2024-07-22,42817239.45249997,0.0,42817239.45249997,2,-57.18276054750003
2024-07-23,42726789.45249997,-31000.0,42695789.45249997,3,-57.304210547500034
2024-07-24,42889111.95249997,-105000.0,42784111.95249997,3,-57.21588804750003
2024-07-25,42385024.45249997,52000.0,42437024.45249997,1,-57.56297554750003
2024-07-26,42030179.70249997,0.0,42030179.70249997,0,-57.96982029750003
2024-07-29,41737506.45249997,0.0,41737506.45249997,1,-58.26249354750003
2024-07-30,41737506.45249997,-117000.0,41620506.45249997,3,-58.379493547500026
2024-07-31,41400991.95249997,-150000.0,41250991.95249997,2,-58.74900804750003
2024-08-01,41088204.45249997,60000.0,41148204.45249997,3,-58.85179554750003
2024-08-02,41012491.95249997,-111000.0,40901491.95249997,2,-59.09850804750003
2024-08-05,40772111.95249997,0.0,40772111.95249997,3,-59.22788804750003
2024-08-06,40497274.45249997,186000.0,40683274.45249997,4,-59.31672554750003
2024-08-07,40388999.54624997,135000.0,40523999.54624997,1,-59.47600045375003
2024-08-08,40521679.79624997,0.0,40521679.79624997,2,-59.47832020375004
2024-08-09,40521679.79624997,81000.0,40602679.79624997,4,-59.39732020375003
2024-08-12,40540186.04624997,-15600.0,40524586.04624997,3,-59.475413953750035
2024-08-13,40550111.54624997,-129500.0,40420611.54624997,3,-59.57938845375003
2024-08-14,40486305.29624997,0.0,40486305.29624997,3,-59.51369470375003
2024-08-15,40494095.29624997,55500.0,40549595.29624997,4,-59.450404703750024
2024-08-16,40583959.05874997,-23500.0,40560459.05874997,2,-59.43954094125004
2024-08-19,40553644.05874997,60000.0,40613644.05874997,4,-59.38635594125004
2024-08-20,40714151.208749965,224900.0,40939051.208749965,3,-59.060948791250034
2024-08-21,40851261.208749965,-20000.0,40831261.208749965,3,-59.16873879125003
2024-08-22,40441341.208749965,-115500.0,40325841.208749965,3,-59.67415879125003
2024-08-23,40427769.958749965,78000.0,40505769.958749965,4,-59.49423004125004
2024-08-26,40665458.958749965,31100.0,40696558.958749965,3,-59.30344104125004
2024-08-27,40396480.958749965,-125000.0,40271480.958749965,2,-59.72851904125004
2024-08-28,39881078.458749965,-52500.0,39828578.458749965,3,-60.171421541250034
2024-08-29,39448496.458749965,0.0,39448496.458749965,3,-60.55150354125004
2024-08-30,39191196.208749965,59000.0,39250196.208749965,3,-60.74980379125003
2024-09-02,39299636.208749965,35000.0,39334636.208749965,3,-60.66536379125004
2024-09-03,39130611.208749965,-100000.0,39030611.208749965,3,-60.96938879125003
2024-09-04,39081861.208749965,-129000.0,38952861.208749965,4,-61.047138791250035
2024-09-05,38808933.23374996,64500.0,38873433.23374996,3,-61.126566766250036
